Sample	mappedNetworkCwR.count_Hong_Kong_to_New_York	mappedNetworkCwR.count_Hong_Kong_to_New_Zealand	mappedNetworkCwR.count_New_York_to_Hong_Kong	mappedNetworkCwR.count_New_York_to_New_Zealand	mappedNetworkCwR.count_New_Zealand_to_Hong_Kong	mappedNetworkCwR.count_New_Zealand_to_New_York
202000	0	1	0	0	3	4
203000	4	2	6	2	0	1
204000	2	2	7	1	0	2
205000	4	2	7	1	1	2
206000	4	3	0	0	1	0
207000	2	2	4	2	2	2
208000	1	2	8	3	0	6
209000	7	4	7	3	1	3
210000	4	2	5	1	0	1
211000	1	0	4	2	0	0
212000	1	1	3	2	1	1
213000	4	3	7	0	0	0
214000	2	0	2	0	2	2
215000	4	3	12	0	0	0
216000	2	2	7	0	0	3
217000	3	2	10	0	0	0
218000	6	3	12	1	0	4
219000	5	1	3	0	5	1
220000	5	1	6	1	0	0
221000	10	2	8	0	1	1
222000	9	1	10	1	0	0
223000	5	1	9	1	0	0
224000	1	2	4	0	1	6
225000	6	2	4	0	0	0
226000	2	3	7	0	1	0
227000	0	0	0	0	2	2
228000	1	0	2	0	1	3
229000	4	0	5	2	0	0
230000	4	1	7	2	0	1
231000	3	1	1	0	5	2
232000	3	0	2	1	2	2
233000	2	0	4	2	0	0
234000	6	0	6	4	2	0
235000	5	0	4	4	2	0
236000	0	0	2	2	0	0
237000	4	0	5	3	1	0
238000	2	0	3	3	3	0
239000	3	2	1	1	6	0
240000	3	4	3	0	1	1
241000	4	3	6	1	2	0
242000	3	1	3	0	4	2
243000	1	3	2	0	5	2
244000	2	3	6	1	4	0
245000	2	0	0	0	4	0
246000	1	2	8	0	1	0
247000	0	3	5	0	1	0
248000	2	3	2	0	0	1
249000	3	2	1	0	0	0
250000	1	3	0	0	5	1
251000	1	2	0	0	4	1
252000	2	0	1	0	3	1
253000	1	1	2	1	0	0
254000	0	2	2	2	1	1
255000	3	2	3	1	1	0
256000	2	1	0	0	5	1
257000	0	2	0	0	4	2
258000	0	2	1	0	1	1
259000	0	2	0	0	2	2
260000	0	3	0	0	4	2
261000	0	4	0	0	4	2
262000	0	1	0	0	2	2
263000	0	1	0	0	3	2
264000	0	2	1	3	2	0
265000	0	0	1	2	1	2
266000	0	1	1	3	1	0
267000	0	5	0	2	2	4
268000	1	4	0	1	3	1
269000	1	3	0	2	5	1
270000	0	5	0	0	2	2
271000	0	0	1	3	1	0
272000	0	0	1	3	1	0
273000	1	1	1	3	1	0
274000	1	1	1	3	3	0
275000	2	0	3	3	0	1
276000	0	0	2	2	0	0
277000	2	0	2	2	0	0
278000	0	0	4	2	0	0
279000	1	0	3	3	0	0
280000	0	0	3	3	1	0
281000	1	0	2	4	2	1
282000	0	0	2	4	0	2
283000	0	0	2	5	0	8
284000	0	2	1	4	1	6
285000	0	1	3	3	0	2
286000	0	0	2	3	0	1
287000	0	0	2	2	0	0
288000	0	0	2	6	0	5
289000	0	0	2	3	0	1
290000	0	1	2	3	1	1
291000	0	1	3	3	0	3
292000	1	0	3	2	0	0
293000	1	1	4	1	0	0
294000	0	0	1	0	1	3
295000	0	0	3	2	0	0
296000	0	2	5	0	0	0
297000	0	2	4	0	0	0
298000	2	4	0	0	0	1
299000	0	2	1	0	1	3
300000	0	3	7	0	0	0
301000	0	0	4	0	0	4
302000	0	0	4	3	0	1
303000	2	1	4	0	1	3
304000	0	2	5	0	0	3
305000	0	1	4	1	0	2
306000	0	4	7	0	0	2
307000	0	2	4	0	0	0
308000	3	4	8	0	0	4
309000	0	4	4	0	0	2
310000	1	0	3	0	1	4
311000	3	1	2	0	3	1
312000	3	2	1	0	0	0
313000	0	3	5	0	1	0
314000	0	2	4	0	2	4
315000	0	2	1	0	1	1
316000	2	0	3	3	1	1
317000	0	1	2	2	1	3
318000	0	0	2	2	0	2
319000	2	0	2	4	0	0
320000	0	0	2	2	0	0
321000	0	0	2	4	0	2
322000	0	0	1	3	1	4
323000	0	0	1	3	1	5
324000	0	0	0	2	2	2
325000	0	0	1	2	1	4
326000	0	0	0	1	2	4
327000	0	0	0	1	4	3
328000	0	2	2	1	2	6
329000	0	0	0	1	2	2
330000	0	0	1	0	1	3
331000	0	1	3	2	0	1
332000	0	0	1	3	1	4
333000	0	2	4	1	2	1
334000	2	1	2	1	3	3
335000	3	1	4	1	1	2
336000	1	3	4	0	0	1
337000	2	1	4	3	1	0
338000	1	2	0	0	5	1
339000	1	0	3	2	0	0
340000	4	3	5	1	1	0
341000	3	1	5	2	1	0
342000	1	2	7	0	0	0
343000	2	0	2	2	2	1
344000	0	1	5	2	0	0
345000	1	1	2	5	2	1
346000	2	0	1	1	4	1
347000	2	1	2	2	2	0
348000	1	0	0	0	3	2
349000	1	0	2	5	1	0
350000	2	0	2	3	0	0
351000	1	1	0	0	4	2
352000	0	0	1	1	1	3
353000	0	0	2	3	0	1
354000	1	0	1	4	2	4
355000	0	0	1	1	1	3
356000	0	0	0	2	2	4
357000	0	0	1	3	1	5
358000	3	1	4	5	0	7
359000	0	0	2	5	0	4
360000	0	1	3	3	0	1
361000	3	1	3	6	0	5
362000	0	1	2	8	1	6
363000	0	2	2	3	0	3
364000	0	0	2	3	0	3
365000	0	0	2	7	0	4
366000	4	1	2	7	0	7
367000	3	0	2	6	1	5
368000	2	0	4	3	0	0
369000	1	0	2	4	0	2
370000	2	0	3	4	1	1
371000	3	0	2	6	2	3
372000	1	0	1	6	2	2
373000	4	1	0	5	5	1
374000	4	1	0	3	2	0
375000	3	1	1	7	5	1
376000	2	0	1	5	3	0
377000	2	0	3	3	1	0
378000	6	3	2	3	4	0
379000	1	1	3	5	0	3
380000	2	1	2	1	1	1
381000	1	1	2	2	2	1
382000	2	2	3	1	1	2
383000	0	1	1	1	4	4
384000	2	0	4	2	0	0
385000	3	1	3	1	0	0
386000	6	1	7	1	0	0
387000	3	1	6	3	0	1
388000	4	2	7	0	0	0
389000	2	0	5	5	0	2
390000	1	1	3	3	0	2
391000	2	0	2	2	0	0
392000	2	0	2	2	0	0
393000	0	0	2	2	0	0
394000	2	0	1	3	2	3
395000	1	1	4	1	0	0
396000	3	1	1	0	4	0
397000	3	0	3	4	0	1
398000	4	0	3	4	3	0
399000	2	0	4	3	0	0
400000	5	0	7	4	0	1
401000	6	0	8	3	0	0
402000	4	1	9	1	0	0
403000	4	1	8	1	0	0
404000	5	0	8	2	0	2
405000	1	0	3	5	0	4
406000	3	0	7	5	0	3
407000	1	2	1	1	0	2
408000	1	0	3	2	0	0
409000	3	2	0	0	0	0
410000	1	2	5	2	0	2
411000	1	2	4	4	0	3
412000	2	0	4	3	0	1
413000	0	2	3	2	1	1
414000	0	1	3	2	0	1
415000	1	0	3	2	0	0
416000	0	1	3	3	0	4
417000	2	2	0	0	0	0
418000	2	2	5	2	0	2
419000	1	1	4	3	0	3
420000	0	0	2	5	0	3
421000	1	2	3	3	0	3
422000	1	0	0	5	3	2
423000	6	0	0	4	1	1
424000	0	0	2	6	0	6
425000	2	0	1	8	1	6
426000	2	0	4	10	0	12
427000	0	0	1	4	1	4
428000	0	0	0	7	2	6
429000	1	2	2	5	0	5
430000	1	0	4	3	1	4
431000	1	0	2	6	1	8
432000	0	0	2	4	0	6
433000	2	2	0	2	0	3
434000	0	0	2	6	0	5
435000	0	0	2	3	0	6
436000	0	0	2	2	0	5
437000	0	4	1	2	0	2
438000	0	0	2	3	0	2
439000	0	0	2	2	0	0
440000	0	1	2	4	0	2
441000	0	0	2	3	0	0
442000	0	0	2	4	0	1
443000	1	0	2	3	0	1
444000	0	0	1	3	1	4
445000	0	0	1	0	1	3
446000	0	0	1	4	1	1
447000	4	1	7	4	0	5
448000	2	1	4	2	0	1
449000	1	0	5	4	0	2
450000	1	0	3	3	0	1
451000	0	1	2	2	1	2
452000	2	0	2	4	2	0
453000	2	0	2	3	1	0
454000	1	0	1	5	1	2
455000	0	0	1	4	1	1
456000	0	0	1	4	1	1
457000	1	1	1	4	3	0
458000	3	0	0	3	1	0
459000	3	0	0	3	1	0
460000	0	0	2	4	0	2
461000	2	0	4	4	2	0
462000	2	0	4	2	0	0
463000	4	0	1	2	1	1
464000	1	0	2	3	1	0
465000	1	0	1	4	1	1
466000	4	0	2	5	3	0
467000	3	1	2	3	2	0
468000	1	0	2	3	1	0
469000	0	0	2	2	0	0
470000	1	0	3	2	0	0
471000	2	0	2	3	0	1
472000	2	0	4	5	0	2
473000	3	1	1	4	1	2
474000	4	0	0	3	0	1
475000	2	3	0	0	0	0
476000	0	0	2	3	0	3
477000	2	0	3	4	0	1
478000	1	1	4	2	1	6
